"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","Bandai Hobby Kit Hg 1/144 Xi Gundam","キット化しただけで満点","ろく","ディテールの良さだけならRGのHi-νガンダム、νガンダム、サザビーの方が上です。少し高いし、巨大機体なので仕方無いけど大きいですがキット化しただけで満点です。クスィーGが好きな人にはマストバイな製品ではあります。１０年前にクスィーGがキット化するなんて想像できた人は居ないかと。","Reviewed in Japan on 18 August 2023","4.7 out of 5 stars","Verified Purchase"
"2","Bandai Hobby Kit Hg 1/144 Xi Gundam","マフティーロボ","佐藤ひろみ","まじやばい、チョーかっこいいこれまで作った中で1番かも","Reviewed in Japan on 25 August 2023","5.0 out of 5 stars","Verified Purchase"
"3","Bandai Hobby Kit Hg 1/144 Xi Gundam","Good","佐藤ひろみ","Good","Reviewed in Japan on 15 August 2023","5.0 out of 5 stars","Verified Purchase"
"4","Bandai Hobby Kit Hg 1/144 Xi Gundam","デカイ","^_^","恐竜的進化の最後の機体。カラーも白が主体でいつものトリコロールカラーではない。でかこのままなのかも気になります。まだ、2.3と劇場版は続きますので。キットは部品も、デカイので意外と初心者さんに向いてるかも。","Reviewed in Japan on 8 August 2023","5.0 out of 5 stars","Verified Purchase"
"5","Bandai Hobby Kit Hg 1/144 Xi Gundam","ペーネロペーよりはマシ","ヌアザ","とてもデカいけど実質二機分あったペーネロペーよりは早く組み終わった。大きさによる組み上げた達成感はちょうどいいぐらいで、大型MSを組みたい初心者にオススメできる。","Reviewed in Japan on 20 July 2023","5.0 out of 5 stars","Verified Purchase"
"6","Bandai Hobby Kit Hg 1/144 Xi Gundam","悪いわけがない","もやた","３０年以上も前に小説を読み、プラモデル化を待っていたので、悪いところは見当たりません。色や形状違いで小説版が出たらいいなと思いますが、これはこれでアリです。","Reviewed in Japan on 10 July 2023","5.0 out of 5 stars","Verified Purchase"
"7","Bandai Hobby Kit Hg 1/144 Xi Gundam","総合的に完成度高し","てつお","長らく買えるタイミングがありませんでしたが念願叶ってペーネロペーと併せてAmazonで購入、大きさはありますが過去に発売されたクシャトリヤなどの大型機体と同じようなMGとHGの中間のような構成、組立は自分は5時間で完成、裏打ちなどを上手く使っており色分けは中々優秀、ディテールが多く素組みだと物足りなさはありますがスミ入れで大きく引き締まる点が多いです、特に顔のスリットがかなり差が出るので必須。可動はフライトフォームの変形も考慮され一見動かなそうな脇可動から肘可動まで全体的に高品質、特筆したいのが手のパーツで内側のパーツにC字ジョイントを挟み込んで腕部とは棒型のジョイントで接続する方式になっており口径も太いので保持力の高さとHGながらも可動の自由度も高い水準になっています。今作の難点も述べておくとまず全体的にKPSが使用されている点、一般的なガンプラのサイズならまだ許容できますが大型機となるとポリキャップレスだと摩耗などの経年の変化がどうしても気になりブンドド派の場合は緩み対策に加工を考えた方がいいかも、他には開き手の肉抜きはかなり見栄えが悪い、先発のペーネロペーが肉抜き無しだったのでどうしても気になってしまいました。後はファンネルミサイルの再現パーツは無くエフェクトとペーネロペーとセットでの特別キットは定価で買えそうもないしプレバン等でファンネルミサイル＋エフェクトのキットが発売されるのを待つしかない点か…総評としては大型キットということもあり組み上がりの達成感や見えない部分のディテールも凝っており満足出来るキットだと思います、TVで閃ハサが放映された恩恵もあり再販でのAmazon直販にも在庫が出るようになったように感じます。このキットの最大の難点が転売に刈り取られて買う機会が無いという事に感じるので転売が為されることが罪悪とであると考える時代であることを悪質な転売ヤーには心から理解していただきたいのである、我々ガンプラモデラーとしては産業テロリストじみた過剰な吊り上げに対してバンダイが粛々と流通量を出す事により定価でも買える状況が増える事で転売の利に値しない状況が産まれた先に転売ヤーの反省を促す状況へと好転する事でひいてはガンプラ業界全体の先細りも避けられる状況となることを祈るばかりである。","Reviewed in Japan on 11 February 2023","5.0 out of 5 stars","Verified Purchase"
"8","Bandai Hobby Kit Hg 1/144 Xi Gundam","HGUC クスィーガンダム完成させ飾ってみた。","静かな人","関節の部品がバンダイさんがお得意のポリキャップとか言う部品であって欲しかった。それと、いうのも、時よりポージングを変えて飾りたいからです。","Reviewed in Japan on 1 April 2023","5.0 out of 5 stars","Verified Purchase"
"9","Bandai Hobby Kit Hg 1/144 Xi Gundam","やっと購入出来ました","静かな人","転売でなくアマゾンから購入出来ましたキットはよく立体化したなと思うが、デザイン自体は好きでは無いガンダムベースでも手に入らなかったのでタイミングが良かった","Reviewed in Japan on 19 March 2023","4.0 out of 5 stars","Verified Purchase"
"10","Bandai Hobby Kit Hg 1/144 Xi Gundam","逸品","片岡紀威","ジャパンブランド万歳🙌","Reviewed in Japan on 26 May 2023","4.0 out of 5 stars","Verified Purchase"
"11","Bandai Hobby Kit Hg 1/144 Xi Gundam","組んでて楽しい","相馬瑛信","大きくてパーツ数も多いけど組みやすくて良かった塗装は大変そうだけど素組みでも十分かっこいい","Reviewed in Japan on 25 February 2023","4.7 out of 5 stars","Verified Purchase"
"12","Bandai Hobby Kit Hg 1/144 Xi Gundam","ポーズ自由自在！男心をくすぐる造形！！","てっちゃん","HGUC 閃光のハサウェイ4は、まさにガンプラ好きのハートを掴むアイテム！可動範囲が広く、自分好みのポーズをつくることができるし、初心者でも簡単に作れます。パーツのはめ込みもスムーズで、手軽に組み立てることができます。男心をくすぐるデザインと造形で、完成したら自慢の作品になること間違いなし！","Reviewed in Japan on 16 April 2023","4.0 out of 5 stars","Verified Purchase"
"13","Bandai Hobby Kit Hg 1/144 Xi Gundam","最高です","タイゴン","でかい！ですがペーネロペーと並べると小さく見える不思議！","Reviewed in Japan on 24 February 2023","5.0 out of 5 stars","Verified Purchase"
"14","Bandai Hobby Kit Hg 1/144 Xi Gundam","期待通り","モリ","期待通りの品で良かったです。","Reviewed in Japan on 2 May 2023","4.0 out of 5 stars","Verified Purchase"
"15","Bandai Hobby Kit Hg 1/144 Xi Gundam","良かった。","Amazon カスタマー","良かった。","Reviewed in Japan on 31 March 2023","5.0 out of 5 stars","Verified Purchase"
"16","Bandai Hobby Kit Hg 1/144 Xi Gundam","特に無し。","中村 豊","普通に組み立て安かった。","Reviewed in Japan on 13 December 2022","5.0 out of 5 stars","Verified Purchase"
"17","Bandai Hobby Kit Hg 1/144 Xi Gundam","HGクスィーガンダム","グフがザックザク","まだ作ってはないけど、とにかく欲しかったのが手に入れたのが嬉しい","Reviewed in Japan on 12 March 2023","4.0 out of 5 stars","Verified Purchase"
"18","Bandai Hobby Kit Hg 1/144 Xi Gundam","普通に・・・・","take","プレゼント用にAmazonさんで定価で購入しました。HGですけど大型モビルスーツなのでサイズは大きいです。余談ですが、購入した後に本日(2月３日)に全国展開型の大型ショッピングモール(地方在住です)に行くと、割引き価格で ペーネロペーや水星の魔女系のプラモデルが大量に入荷されていました。定員さんに聞くと「入荷予定はお教えできないのですが、一定量は定期的に入荷します」との事でした。","Reviewed in Japan on 3 February 2023","5.0 out of 5 stars","Verified Purchase"
"19","Bandai Hobby Kit Hg 1/144 Xi Gundam","クスィーガンダム","再生材使用キット","ファンネルミサイルエフェクト欲しい","Reviewed in Japan on 6 November 2022","5.0 out of 5 stars","Verified Purchase"
"20","Bandai Hobby Kit Hg 1/144 Xi Gundam","最高！","まー","やっと手に入りました。","Reviewed in Japan on 18 December 2022","4.0 out of 5 stars","Verified Purchase"
"21","Bandai Hobby Kit Hg 1/144 Xi Gundam","やっと買えた","アプサラス","定価販売でしたが、やっと手に入れる事が出来た。好き嫌いが分かれるガンダムだと思うけど、これはこれでカッコイイと思う。","Reviewed in Japan on 9 August 2022","4.7 out of 5 stars","Verified Purchase"
"22","Bandai Hobby Kit Hg 1/144 Xi Gundam","いい。","大室悠仁","とても良かったです！HGなので作りやすい上にこの、ボリュームは良き良き！","Reviewed in Japan on 24 November 2022","4.0 out of 5 stars","Verified Purchase"
"23","Bandai Hobby Kit Hg 1/144 Xi Gundam","やっと購入できました","Amazon Customer","今回行った定価で購入することができました、転売ヤーには本当に泣かされてばかりでしたが、市場に出回ってきたようで通常の Amazon 販売で定価で購入することができました。大型モビルスーツだけあって、作りがいのあるパーツ、そして出来上がった時の大きさは感動でした。素組みでもとてもかっこいいものが出来上がります。これからどうやってディティールアップしているか想像しながら、ポージング稼働させて遊んでいます。","Reviewed in Japan on 22 October 2022","5.0 out of 5 stars","Verified Purchase"
"24","Bandai Hobby Kit Hg 1/144 Xi Gundam","定価で買える世の中に戻って欲しい","キタムラカズキ","箱は美品で中身は未開封でしたので部品の不足はないと思われます。配達も迅速でした。税込6600円が税込、送料込み8000円は良心的な方でしょう。でも店頭で定価で買える日が戻ることを願います。ほんの数年前までAmazonでも定価より安く買えてました。製造元の策略なんですかね？","Reviewed in Japan on 8 July 2022","5.0 out of 5 stars","Verified Purchase"
"25","Bandai Hobby Kit Hg 1/144 Xi Gundam","スッゲー","小西崇雄","ボリュームが半端ないっす！そして状態もいい！最高です‼︎","Reviewed in Japan on 29 October 2022","4.0 out of 5 stars","Verified Purchase"
"26","Bandai Hobby Kit Hg 1/144 Xi Gundam","やっと","k.k","やっと買えました！もちろんメーカー小売価格で購入しました。外に出ると交通費がかかるので大満足です。まだ製作出来てないので細かいことは言えませんが楽しみです。","Reviewed in Japan on 22 October 2022","5.0 out of 5 stars","Verified Purchase"
"27","Bandai Hobby Kit Hg 1/144 Xi Gundam","Tremendo diseño y buen tamaño","Jesús Manuel","Me gusta coleccionar estos tipos de modelo  y los mantengo en un tablillero.","Reviewed in the United States on 6 August 2021","5.0 out of 5 stars","Verified Purchase"
