"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","bandai hobby kit hg 1/144 xi gundam",NA,NA,"rghigg",2023-08-18,4,"verified purchase"
"2","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-08-25,5,"verified purchase"
"3","bandai hobby kit hg 1/144 xi gundam","good",NA,"good",2023-08-15,5,"verified purchase"
"4","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-08-08,5,"verified purchase"
"5","bandai hobby kit hg 1/144 xi gundam",NA,NA,"ms",2023-07-20,5,"verified purchase"
"6","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-07-10,5,"verified purchase"
"7","bandai hobby kit hg 1/144 xi gundam",NA,NA,"amazonmghgchgkpstvamazon",2023-02-11,5,"verified purchase"
"8","bandai hobby kit hg 1/144 xi gundam","hguc ",NA,NA,2023-04-01,5,"verified purchase"
"9","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-03-19,4,"verified purchase"
"10","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-05-26,4,"verified purchase"
"11","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-02-25,4,"verified purchase"
"12","bandai hobby kit hg 1/144 xi gundam",NA,NA,"hguc ",2023-04-16,4,"verified purchase"
"13","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-02-24,5,"verified purchase"
"14","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-05-02,4,"verified purchase"
"15","bandai hobby kit hg 1/144 xi gundam",NA,"amazon ",NA,2023-03-31,5,"verified purchase"
"16","bandai hobby kit hg 1/144 xi gundam",NA," ",NA,2022-12-13,5,"verified purchase"
"17","bandai hobby kit hg 1/144 xi gundam","hg",NA,NA,2023-03-12,4,"verified purchase"
"18","bandai hobby kit hg 1/144 xi gundam",NA,"take","amazonhg ",2023-02-03,5,"verified purchase"
"19","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-11-06,5,"verified purchase"
"20","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-12-18,4,"verified purchase"
"21","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-08-09,4,"verified purchase"
"22","bandai hobby kit hg 1/144 xi gundam",NA,NA,"hg",2022-11-24,4,"verified purchase"
"23","bandai hobby kit hg 1/144 xi gundam",NA,"amazon customer"," amazon ",2022-10-22,5,"verified purchase"
"24","bandai hobby kit hg 1/144 xi gundam",NA,NA,"amazon",2022-07-08,5,"verified purchase"
"25","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-10-29,4,"verified purchase"
"26","bandai hobby kit hg 1/144 xi gundam",NA,"kk",NA,2022-10-22,5,"verified purchase"
"27","bandai hobby kit hg 1/144 xi gundam","tremendo diseo y buen tamao","jess manuel","me gusta coleccionar estos tipos de modelo  y los mantengo en un tablillero",2021-08-06,5,"verified purchase"
"28","bandai hobby kit hg 1/144 xi gundam",NA,"jess manuel",NA,2022-10-01,5,"verified purchase"
"29","bandai hobby kit hg 1/144 xi gundam","best model for a hg kit","amazon ","a very good quality for an hg model kit very very suprising",2021-08-06,5,"verified purchase"
"30","bandai hobby kit hg 1/144 xi gundam",NA,"damon","hgoogff",2021-05-06,5,"verified purchase"
"31","bandai hobby kit hg 1/144 xi gundam","big and bad ass","darin brown","i might change out the bots big palooka hands theyre a tad large",2021-06-21,4,"verified purchase"
"32","bandai hobby kit hg 1/144 xi gundam",NA,"amazon ",NA,2022-09-30,5,"verified purchase"
"33","bandai hobby kit hg 1/144 xi gundam",NA,NA,"amazonamazon",2022-09-27,5,"verified purchase"
"34","bandai hobby kit hg 1/144 xi gundam","easy built with mg visual performance","ziqi li","a bit expensive for a hg lol",2021-08-09,5,"verified purchase"
"35","bandai hobby kit hg 1/144 xi gundam",NA,"ziqi li",NA,2022-03-01,5,"verified purchase"
"36","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2021-10-08,5,"verified purchase"
"37","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2023-04-11,4,"verified purchase"
"38","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-08-27,4,"verified purchase"
"39","bandai hobby kit hg 1/144 xi gundam",NA,NA,"hg",2021-04-27,4,"verified purchase"
"40","bandai hobby kit hg 1/144 xi gundam",NA," ","max",2022-05-16,2,"verified purchase"
"41","bandai hobby kit hg 1/144 xi gundam",NA,"y j","hg",2021-08-27,4,"verified purchase"
"42","bandai hobby kit hg 1/144 xi gundam",NA,"jsnev",NA,2021-06-18,4,"verified purchase"
"43","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2021-06-07,4,"verified purchase"
"44","bandai hobby kit hg 1/144 xi gundam","hguc",NA,NA,2022-09-28,4,"verified purchase"
"45","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2021-08-08,4,"verified purchase"
"46","bandai hobby kit hg 1/144 xi gundam",NA,NA,"hg",2021-04-28,3,"verified purchase"
"47","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2021-06-01,4,"verified purchase"
"48","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-04-15,4,"verified purchase"
"49","bandai hobby kit hg 1/144 xi gundam",NA,NA,NA,2022-04-10,4,"verified purchase"
"50","bandai hobby kit hg 1/144 xi gundam",NA,NA,"hg",2021-05-28,5,"verified purchase"
"51","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","master grade gundam heavy arms","rajoh","sehr gut verarbeiteter modellbausatz fr den heavy arms zusammenbau war leicht zu verstehen allerdings wrde ich an einer stelle empfehlen trotzdem kleber zu benutzen an den enden des munitionsgurtesalles in allem sehr zu empfehlen",2013-04-26,4,"verified purchase"
"52","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","super great kit","matthew m","super great kit however i did spray the inner frame sprue a gunmetal but it made it super tight for all its joints ive done this before on other kits and while it got tighter it didnt get near as tight as this kit just so you know",2017-09-25,5,"verified purchase"
"53","bandai hobby - gundam wing: endless waltz - gundam heavyarms (ew),bandai mg","probably the most solid master grade kit ive ever built","gary hood","package came exactly as i had expected fresh off a shelf in an expedient and undamaged manner  every piece was in the kit all was intact no pieces breaking in transit  the kit itself is definitely not an introductory kit by any means and requires plenty of attention due to a number of similarlooking parts that are only visibly different if you look really close  with that said this kit is exceptionally sturdy where most of my other master grades fail to be save for one small issue  the peg ends for the ammo belt do need to be superglued to the bendy wire that serves as the spine for the belt its exceptionally easy for the wire to slip out and then youd need to take it apart just to fit the wire back in  beyond that issue the kit is extremely solid and surprisingly articulate and lithe  which is rather hilariously the same thing i said about heavyarms itself in the show  overall a very worthwhile purchase especially for the price  the sturdiness alone makes it feel like a kit worth twice what youre paying",2022-08-30,5,"verified purchase"
