"","title","author","subject","abstract","date"
"1","characterisation of anti-arrhythmic drug effects on cardiac electrophysiology using physics-informed neural networks","ching-en chiu, arieh levy pinto, rasheda a chowdhury, kim christensen, marta varela","quantitative methods","the ability to accurately infer cardiac electrophysiological (ep) properties is key to improving arrhythmia diagnosis and treatment. in this work, we developed a physics-informed neural networks (pinns) framework to predict how different myocardial ep parameters are modulated by anti-arrhythmic drugs. using $\textit{in vitro}$ optical mapping images and the 3-channel fenton-karma model, we estimated the changes in ionic channel conductance caused by these drugs. our framework successfully characterised the action of drugs hmr1556, nifedipine and lidocaine - respectively, blockade of $i_{k}$, $i_{ca}$, and $i_{na}$ currents - by estimating that they decreased the respective channel conductance by $31.8\pm2.7\%$ $(p=8.2 \times 10^{-5})$, $80.9\pm21.6\%$ $(p=0.02)$, and $8.6\pm0.5\%$ $ (p=0.03)$, leaving the conductance of other channels unchanged. for carbenoxolone, whose main action is the blockade of intercellular gap junctions, pinns also successfully predicted no significant changes $(p>0.09)$ in all ionic conductances. our results are an important step towards the deployment of pinns for model parameter estimation from experimental data, bringing this framework closer to clinical or laboratory images analysis and for the personalisation of mathematical models.",2024-03-13
"2","learning to describe for predicting zero-shot drug-drug interactions","fangqi zhu, yongqi zhang, lei chen, bing qin, ruifeng xu","computation and language","adverse drug-drug interactions~(ddis) can compromise the effectiveness of concurrent drug administration, posing a significant challenge in healthcare. as the development of new drugs continues, the potential for unknown adverse effects resulting from ddis becomes a growing concern. traditional computational methods for ddi prediction may fail to capture interactions for new drugs due to the lack of knowledge. in this paper, we introduce a new problem setup as zero-shot ddi prediction that deals with the case of new drugs. leveraging textual information from online databases like drugbank and pubchem, we propose an innovative approach textddi with a language model-based ddi predictor and a reinforcement learning~(rl)-based information selector, enabling the selection of concise and pertinent text for accurate ddi prediction on new drugs. empirical results show the benefits of the proposed approach on several settings including zero-shot and few-shot ddi prediction, and the selected texts are semantically relevant. our code and data are available at \url{this https url}.",2024-03-13
"3","molbind: multimodal alignment of language, molecules, and proteins","teng xiao, chao cui, huaisheng zhu, vasant g. honavar","machine learning","recent advancements in biology and chemistry have leveraged multi-modal learning, integrating molecules and their natural language descriptions to enhance drug discovery. however, current pre-training frameworks are limited to two modalities, and designing a unified network to process different modalities (e.g., natural language, 2d molecular graphs, 3d molecular conformations, and 3d proteins) remains challenging due to inherent gaps among them. in this work, we propose molbind, a framework that trains encoders for multiple modalities through contrastive learning, mapping all modalities to a shared feature space for multi-modal semantic alignment. to facilitate effective pre-training of molbind on multiple modalities, we also build and collect a high-quality dataset with four modalities, molbind-m4, including graph-language, conformation-language, graph-conformation, and conformation-protein paired data. molbind shows superior zero-shot learning performance across a wide range of tasks, demonstrating its strong capability of capturing the underlying semantics of multiple modalities.",2024-03-13
"4","representing molecules as random walks over interpretable grammars","michael sun, minghao guo, weize yuan, veronika thost, crystal elaine owens, aristotle franklin grosz, sharvaa selvan, katelyn zhou, hassan mohiuddin, benjamin j pedretti, zachary p smith, jie chen, wojciech matusik","machine learning","recent research in molecular discovery has primarily been devoted to small, drug-like molecules, leaving many similarly important applications in material design without adequate technology. these applications often rely on more complex molecular structures with fewer examples that are carefully designed using known substructures. we propose a data-efficient and interpretable model for representing and reasoning over such molecules in terms of graph grammars that explicitly describe the hierarchical design space featuring motifs to be the design basis. we present a novel representation in the form of random walks over the design space, which facilitates both molecule generation and property prediction. we demonstrate clear advantages over existing methods in terms of performance, efficiency, and synthesizability of predicted molecules, and we provide detailed insights into the method's chemical interpretability.",2024-03-13
"5","physics-informed generative model for drug-like molecule conformers","david c. williams, neil imana","biomolecules","we present a diffusion-based, generative model for conformer generation. our model is focused on the reproduction of bonded structure and is constructed from the associated terms traditionally found in classical force fields to ensure a physically relevant representation. techniques in deep learning are used to infer atom typing and geometric parameters from a training set. conformer sampling is achieved by taking advantage of recent advancements in diffusion-based generation. by training on large, synthetic data sets of diverse, drug-like molecules optimized with the semiempirical gfn2-xtb method, high accuracy is achieved for bonded parameters, exceeding that of conventional, knowledge-based methods. results are also compared to experimental structures from the protein databank (pdb) and cambridge structural database (csd).",2024-02-29
"6","decompdiff: diffusion models with decomposed priors for structure-based drug design","jiaqi guan, xiangxin zhou, yuwei yang, yu bao, jian peng, jianzhu ma, qiang liu, liang wang, quanquan gu","biomolecules","designing 3d ligands within a target binding site is a fundamental task in drug discovery. existing structured-based drug design methods treat all ligand atoms equally, which ignores different roles of atoms in the ligand for drug design and can be less efficient for exploring the large drug-like molecule space. in this paper, inspired by the convention in pharmaceutical practice, we decompose the ligand molecule into two parts, namely arms and scaffold, and propose a new diffusion model, decompdiff, with decomposed priors over arms and scaffold. in order to facilitate the decomposed generation and improve the properties of the generated molecules, we incorporate both bond diffusion in the model and additional validity guidance in the sampling phase. extensive experiments on crossdocked2020 show that our approach achieves state-of-the-art performance in generating high-affinity molecules while maintaining proper molecular properties and conformational stability, with up to -8.39 avg. vina dock score and 24.5 success rate. the code is provided at this https url",2024-02-26
"7","generative deep learning-enabled ultra-large field-of-view lens-free imaging","ronald b. liu, zhe liu, max g.a. wolf, krishna p. purohit, gregor fritz, yi feng, carsten g. hansen, pierre o. bagnaninchi, xavier casadevall i solvas, yunjie yang","optics","advancements in high-throughput biomedical applications necessitate real-time, large field-of-view (fov) imaging capabilities. conventional lens-free imaging (lfi) systems, while addressing the limitations of physical lenses, have been constrained by dynamic, hard-to-model optical fields, resulting in a limited one-shot fov of approximately 20 $mm^2$. this restriction has been a major bottleneck in applications like live-cell imaging and automation of microfluidic systems for biomedical research. here, we present a deep-learning(dl)-based imaging framework -- genlfi -- leveraging generative artificial intelligence (ai) for holographic image reconstruction. we demonstrate that genlfi can achieve a real-time fov over 550 $mm^2$, surpassing the current lfi system by more than 20-fold, and even larger than the world's largest confocal microscope by 1.76 times. the resolution is at the sub-pixel level of 5.52 $\mu m$, without the need for a shifting light source. the unsupervised learning-based reconstruction does not require optical field modeling, making imaging dynamic 3d samples (e.g., droplet-based microfluidics and 3d cell models) in complex optical fields possible. this genlfi framework unlocks the potential of lfi systems, offering a robust tool to tackle new frontiers in high-throughput biomedical applications such as drug discovery.",2024-03-12
"8","cardiogenai: a machine learning-based framework for re-engineering drugs for reduced herg liability","gregory w. kyro, matthew t. martin, eric d. watt, victor s. batista","machine learning","drug-induced cardiotoxicity is a major health concern which can lead to serious adverse effects including life-threatening cardiac arrhythmias via the blockade of the voltage-gated herg potassium ion channel. it is therefore of tremendous interest to develop advanced methods to identify herg-active compounds in early stages of drug development, as well as to optimize commercially available drugs for reduced herg activity. in this work, we present cardiogenai, a machine learning-based framework for re-engineering both developmental and marketed drugs for reduced herg activity while preserving their pharmacological activity. the framework incorporates novel state-of-the-art discriminative models for predicting herg channel activity, as well as activity against the voltage-gated nav1.5 and cav1.2 channels due to their potential implications in modulating the arrhythmogenic potential induced by herg channel blockade. these models can also serve independently as effective components of a virtual screening pipeline. we applied the complete framework to pimozide, an fda-approved antipsychotic agent that demonstrates high affinity to the herg channel, and generated 100 refined candidates. remarkably, among the candidates is fluspirilene, a compound which is of the same class of drugs (diphenylmethanes) as pimozide and therefore has similar pharmacological activity, yet exhibits over 700-fold weaker binding to herg. we have made all of our software open-source to facilitate integration of the cardiogenai framework for molecular hypothesis generation into drug discovery workflows.",2024-03-12
"9","an improved strategy for blood glucose control using multi-step deep reinforcement learning","weiwei gu, senquan wang","artificial intelligence","blood glucose (bg) control involves keeping an individual's bg within a healthy range through extracorporeal insulin injections is an important task for people with type 1 diabetes. however,traditional patient self-management is cumbersome and risky. recent research has been devoted to exploring individualized and automated bg control approaches, among which deep reinforcement learning (drl) shows potential as an emerging approach. in this paper, we use an exponential decay model of drug concentration to convert the formalization of the bg control problem, which takes into account the delay and prolongedness of drug effects, from a pae-pomdp (prolonged action effect-partially observable markov decision process) to a mdp, and we propose a novel multi-step drl-based algorithm to solve the problem. the prioritized experience replay (per) sampling method is also used in it. compared to single-step bootstrapped updates, multi-step learning is more efficient and reduces the influence from biasing targets. our proposed method converges faster and achieves higher cumulative rewards compared to the benchmark in the same training environment, and improves the time-in-range (tir), the percentage of time the patient's bg is within the target range, in the evaluation phase. our work validates the effectiveness of multi-step reinforcement learning in bg control, which may help to explore the optimal glycemic control measure and improve the survival of diabetic patients.",2024-03-12
"10","predicting the risk of ischemic stroke in patients with atrial fibrillation using heterogeneous drug-protein-disease network-based deep learning","zhiheng lyu, jiannan yang, zhongzhi xu, weilan wang, weibin cheng, kwok-leung tsui, gary tse, qingpeng zhang","quantitative methods","we develop a deep learning model, abiospath, to predict the one-year risk of ischemic stroke (is) in atrial fibrillation (af) patients. the model integrates drug-protein-disease pathways and real-world clinical data of af patients to generate the is risk and potential pathways for each patient. the model uses a multilayer network to identify the mechanism of drug action and disease comorbidity propagation pathways. the model is tested on the electronic health record (ehr) data of 7859 af patients from 43 hospitals in hong kong. the model outperforms all baselines across all metrics and provides valuable molecular-level insights for clinical use. the model also highlights key proteins in common pathways and potential is risks tied to less-studied drugs. the model only requires routinely collected data, without requiring expensive biomarkers to be tested.",2024-03-12
"11","3m-diffusion: latent multi-modal diffusion for text-guided generation of molecular graphs","huaisheng zhu, teng xiao, vasant g honavar","machine learning","generating molecules with desired properties is a critical task with broad applications in drug discovery and materials design. inspired by recent advances in large language models, there is a growing interest in using natural language descriptions of molecules to generate molecules with the desired properties. most existing methods focus on generating molecules that precisely match the text description. however, practical applications call for methods that generate diverse, and ideally novel, molecules with the desired properties. we propose 3m-diffusion, a novel multi-modal molecular graph generation method, to address this challenge. 3m-diffusion first encodes molecular graphs into a graph latent space aligned with text descriptions. it then reconstructs the molecular structure and atomic attributes based on the given text descriptions using the molecule decoder. it then learns a probabilistic mapping from the text space to the latent molecular graph space using a diffusion model. the results of our extensive experiments on several datasets demonstrate that 3m-diffusion can generate high-quality, novel and diverse molecular graphs that semantically match the textual description provided.",2024-03-11
"12","membrane interactions in alzheimer`s treatment strategies with multitarget molecules","pablo zambrano","biomolecules","addressing alzheimer's disease (ad) requires innovative strategies beyond current single-target drugs. this letter to the editor suggests that multitarget molecules, especially those targeting neuronal membrane protection, could offer a comprehensive approach to ad therapy, advocating for further research into their mechanisms and therapeutic potential.",2024-03-10
"13","protest: nonparametric testing of hypotheses enhanced by experts' utility judgements","rodrigo f. l. lassance, rafael izbicki, rafael b. stern","methodology","instead of testing solely a precise hypothesis, it is often useful to enlarge it with alternatives that are deemed to differ from it negligibly. for instance, in a bioequivalence study one might consider the hypothesis that the concentration of an ingredient is exactly the same in two drugs. in such a context, it might be more relevant to test the enlarged hypothesis that the difference in concentration between the drugs is of no practical significance. while this concept is not alien to bayesian statistics, applications remain confined to parametric settings and strategies on how to effectively harness experts' intuitions are often scarce or nonexistent. to resolve both issues, we introduce protest, an accessible nonparametric testing framework that seamlessly integrates with markov chain monte carlo (mcmc) methods. we develop expanded versions of the model adherence, goodness-of-fit, quantile and two-sample tests. to demonstrate how protest operates, we make use of examples, simulated studies - such as testing link functions in a binary regression setting, as well as a comparison between the performance of protest and the pttest (holmes et al., 2015) - and an application with data on neuron spikes. furthermore, we address the crucial issue of selecting the threshold - which controls how much a hypothesis is to be expanded - even when intuitions are limited or challenging to quantify.",2024-03-08
"14","advances of deep learning in protein science: a comprehensive survey","bozhen hu, cheng tan, lirong wu, jiangbin zheng, jun xia, zhangyang gao, zicheng liu, fandi wu, guijun zhang, stan z. li","biomolecules","protein representation learning plays a crucial role in understanding the structure and function of proteins, which are essential biomolecules involved in various biological processes. in recent years, deep learning has emerged as a powerful tool for protein modeling due to its ability to learn complex patterns and representations from large-scale protein data. this comprehensive survey aims to provide an overview of the recent advances in deep learning techniques applied to protein science. the survey begins by introducing the developments of deep learning based protein models and emphasizes the importance of protein representation learning in drug discovery, protein engineering, and function annotation. it then delves into the fundamentals of deep learning, including convolutional neural networks, recurrent neural networks, attention models, and graph neural networks in modeling protein sequences, structures, and functions, and explores how these techniques can be used to extract meaningful features and capture intricate relationships within protein data. next, the survey presents various applications of deep learning in the field of proteins, including protein structure prediction, protein-protein interaction prediction, protein function prediction, etc. furthermore, it highlights the challenges and limitations of these deep learning techniques and also discusses potential solutions and future directions for overcoming these challenges. this comprehensive survey provides a valuable resource for researchers and practitioners in the field of proteins who are interested in harnessing the power of deep learning techniques. by consolidating the latest advancements and discussing potential avenues for improvement, this review contributes to the ongoing progress in protein research and paves the way for future breakthroughs in the field.",2024-03-08
"15","predicting single-cell drug sensitivity by adaptive weighted feature for adversarial multi-source domain adaptation","wei duan, hui liu","artificial intelligence","the development of single-cell sequencing technology had promoted the generation of a large amount of single-cell transcriptional profiles, providing valuable opportunities to explore drug-resistant cell subpopulations in a tumor. however, the drug sensitivity data in single-cell level is still scarce to date, pressing an urgent and highly challenging task for computational prediction of the drug sensitivity to individual cells. this paper proposed scadadrug, a multi-source adaptive weighting model to predict single-cell drug sensitivity. we used an autoencoder to extract domain-invariant features related to drug sensitivity from multiple source domains by exploiting adversarial domain adaptation. especially, we introduced an adaptive weight generator to produce importance-aware and mutual independent weights, which could adaptively modulate the embedding of each sample in dimension-level for both source and target domains. extensive experimental results showed that our model achieved state-of-the-art performance in predicting drug sensitivity on sinle-cell datasets, as well as on cell line and patient datasets.",2024-03-08
"16","cell reprogramming design by transfer learning of functional transcriptional networks","thomas p. wytock, adilson e. motter","molecular networks","recent developments in synthetic biology, next-generation sequencing, and machine learning provide an unprecedented opportunity to rationally design new disease treatments based on measured responses to gene perturbations and drugs to reprogram cells. the main challenges to seizing this opportunity are the incomplete knowledge of the cellular network and the combinatorial explosion of possible interventions, both of which are insurmountable by experiments. to address these challenges, we develop a transfer learning approach to control cell behavior that is pre-trained on transcriptomic data associated with human cell fates, thereby generating a model of the network dynamics that can be transferred to specific reprogramming goals. the approach combines transcriptional responses to gene perturbations to minimize the difference between a given pair of initial and target transcriptional states. we demonstrate our approach's versatility by applying it to a microarray dataset comprising >9,000 microarrays across 54 cell types and 227 unique perturbations, and an rnaseq dataset consisting of >10,000 sequencing runs across 36 cell types and 138 perturbations. our approach reproduces known reprogramming protocols with an auroc of 0.91 while innovating over existing methods by pre-training an adaptable model that can be tailored to specific reprogramming transitions. we show that the number of gene perturbations required to steer from one fate to another increases with decreasing developmental relatedness and that fewer genes are needed to progress along developmental paths than to regress. these findings establish a proof-of-concept for our approach to computationally design control strategies and provide insights into how gene regulatory networks govern phenotype.",2024-03-07
"17","gnn-vpa: a variance-preserving aggregation strategy for graph neural networks","lisa schneckenreiter, richard freinschlag, florian sestak, johannes brandstetter, günter klambauer, andreas mayr","machine learning","graph neural networks (gnns), and especially message-passing neural networks, excel in various domains such as physics, drug discovery, and molecular modeling. the expressivity of gnns with respect to their ability to discriminate non-isomorphic graphs critically depends on the functions employed for message aggregation and graph-level readout. by applying signal propagation theory, we propose a variance-preserving aggregation function (vpa) that maintains expressivity, but yields improved forward and backward dynamics. experiments demonstrate that vpa leads to increased predictive performance for popular gnn architectures as well as improved learning dynamics. our results could pave the way towards normalizer-free or self-normalizing gnns.",2024-03-07
"18","a magnetic millirobot walks on slippery biological surfaces for targeted cargo delivery","moonkwang jeong, xiangzhou tan, felix fischer, tian qiu","robotics","small-scale robots hold great potential for targeted cargo delivery in minimally-inv asive medicine. however, current robots often face challenges to locomote efficiently on slip pery biological tissue surfaces, especially when loaded with heavy cargos. here, we report a magnetic millirobot that can walk on rough and slippery biological tissues by anchoring itself on the soft tissue surface alternatingly with two feet and reciprocally rotating the body to mov e forward. we experimentally studied the locomotion, validated it with numerical simulations and optimized the actuation parameters to fit various terrains and loading conditions. further more, we developed a permanent magnet set-up to enable wireless actuation within a huma n-scale volume which allows precise control of the millirobot to follow complex trajectories, cl imb vertical walls, and carry cargo up to four times of its own weight. upon reaching the targ et location, it performs a deployment sequence to release the liquid drug into tissues. the ro bust gait of our millirobot on rough biological terrains, combined with its heavy load capacity, make it a versatile and effective miniaturized vehicle for targeted cargo delivery.",2024-03-07
"19","preference optimization of protein language models as a multi-objective binder design paradigm","pouria mistani, venkatesh mysore","biological physics","we present a multi-objective binder design paradigm based on instruction fine-tuning and direct preference optimization (dpo) of autoregressive protein language models (plms). multiple design objectives are encoded in the language model through direct optimization on expert curated preference sequence datasets comprising preferred and dispreferred distributions. we show the proposed alignment strategy enables protgpt2 to effectively design binders conditioned on specified receptors and a drug developability criterion. generated binder samples demonstrate median isoelectric point (pi) improvements by $17\%-60\%$.",2024-03-07
"20","stabilizing policy gradients for stochastic differential equations via consistency with perturbation process","xiangxin zhou, liang wang, yichi zhou","machine learning","considering generating samples with high rewards, we focus on optimizing deep neural networks parameterized stochastic differential equations (sdes), the advanced generative models with high expressiveness, with policy gradient, the leading algorithm in reinforcement learning. nevertheless, when applying policy gradients to sdes, since the policy gradient is estimated on a finite set of trajectories, it can be ill-defined, and the policy behavior in data-scarce regions may be uncontrolled. this challenge compromises the stability of policy gradients and negatively impacts sample complexity. to address these issues, we propose constraining the sde to be consistent with its associated perturbation process. since the perturbation process covers the entire space and is easy to sample, we can mitigate the aforementioned problems. our framework offers a general approach allowing for a versatile selection of policy gradient methods to effectively and efficiently train sdes. we evaluate our algorithm on the task of structure-based drug design and optimize the binding affinity of generated ligand molecules. our method achieves the best vina score -9.07 on the crossdocked2020 dataset.",2024-03-07
